District,County,Route,Road_Name,Begin_MP,End_MP,Comments,Reported_On,End_Date,latitude,longitude,Duration_Default,Duration_Hours
1,Ballard,KY-310,TURNER LANDING RD,6.0,6.0,Roadway blocked due to flooding. Updates as available.,2023-07-19 17:58:02,2023-07-22 20:02:01,37.131104,-89.0201,3 days 02:03:59,74.0663888888889
1,Ballard,KY-310,TURNER LANDING RD,6.0,6.0,Road blocked due to flooding at this location.,2023-07-26 12:29:13,2023-07-26 15:10:01,37.131104,-89.0201,0 days 02:40:48,2.68
1,Ballard,KY-358,HINKLEVILLE RD,4.0,4.0,Roadway blocked due to flooding. Updates as available.,2023-07-19 18:00:48,2023-07-22 20:06:00,37.046533,-88.933658,3 days 02:05:12,74.08666666666667
1,Ballard,KY-358,HINKLEVILLE RD,4.0,4.0,Road blocked due to flooding at this location.,2023-07-26 12:31:11,2023-07-26 15:10:01,37.046533,-88.933658,0 days 02:38:50,2.647222222222222
1,Ballard,KY-473,GAGE RD,2.5,2.5,Roadway blocked due to flooding. Updates as available.,2023-07-19 17:59:39,2023-07-22 20:04:00,37.020247,-88.898133,3 days 02:04:21,74.0725
1,Ballard,KY-473,GAGE RD,2.5,2.5,Road blocked due to flooding at this location.,2023-07-26 12:30:17,2023-07-26 15:10:01,37.020247,-88.898133,0 days 02:39:44,2.6622222222222223
1,Ballard,KY-473,REFUGE RD,24.0,25.0,Roadway blocked due to flooding. Updates as available.,2023-03-05 01:02:34,2023-03-08 21:40:01,37.156409,-89.007214,3 days 20:37:27,92.62416666666667
1,Ballard,KY-802,LA CENTER RD,6.7,6.7,Roadway blocked due to flooding/emergency repairs. Updates as available.,2023-07-19 11:01:04,2023-07-22 20:00:01,37.016686,-88.955825,3 days 08:58:57,80.9825
1,Ballard,KY-802,LA CENTER RD,6.7,6.7,Roadway blocked due to flooding/washed out culvert. Updates as available.,2023-07-19 11:01:04,2023-07-19 15:10:00,37.016686,-88.955825,0 days 04:08:56,4.148888888888889
1,Ballard,KY-802,LA CENTER RD,6.7,6.7,Road blocked due to flooding.,2023-07-26 12:27:25,2023-07-26 15:10:01,37.016686,-88.955825,0 days 02:42:36,2.71
1,Ballard,US-62,CUNNINGHAM RD,0.1,1.0,Roadway blocked due to flooding. Updates as available.,2023-07-19 10:53:59,2023-07-20 09:38:01,36.9532,-88.827159,0 days 22:44:02,22.733888888888888
1,Ballard,US-62,CUNNINGHAM RD,1.0,2.0,single lane traffic with alternating flow controlled by flaggers. Expect delays. ,2023-03-03 08:32:16,2023-03-03 22:10:01,36.965764,-88.829484,0 days 13:37:45,13.629166666666666
1,Ballard,US-62,CUNNINGHAM RD,1.0,2.0,Road blocked due to flooding. Seek alternate route.,2023-03-03 08:32:16,2023-03-03 10:26:01,36.965764,-88.829484,0 days 01:53:45,1.8958333333333333
1,Calloway,KY-121,KY-121 S,13.7,13.7,Roadway blocked due to flooding. Updates as available.,2023-07-19 12:45:27,2023-07-19 20:16:00,36.591175,-88.300492,0 days 07:30:33,7.509166666666666
1,Calloway,KY-1270,EDGEHILL TRL,0.1,4.3,Roadway blocked due to flooding. Updates as available.,2023-07-19 12:46:43,2023-07-20 10:40:01,36.510346,-88.487221,0 days 21:53:18,21.888333333333332
1,Calloway,KY-1270,EDGEHILL TRL,0.1,4.3,Both directions all lanes blocked due to flooding. Seek alternate route.,2023-07-19 12:46:43,2023-07-19 15:10:00,36.510346,-88.487221,0 days 02:23:17,2.3880555555555554
